Running BrowserMob Proxy using LittleProxy implementation. To revert to the legacy implementation, run the proxy with the command-line option '--use-littleproxy false'.
[WARN  2024-06-06T16:56:23,565 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-3) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,565 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-3) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,575 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,576 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,603 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-5) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,603 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-5) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,610 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-4) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,610 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-4) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,611 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,611 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,613 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-0) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,614 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-0) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,651 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,651 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,656 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-0) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,656 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-4) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,656 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-0) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,656 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-4) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,670 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-6) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,670 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-6) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,684 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,685 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,690 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-5) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,690 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-5) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,707 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-4) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,707 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-4) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,752 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-4) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,752 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-4) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,808 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-0) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,809 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-0) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,825 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-1) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,827 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-1) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,833 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-4) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,834 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-4) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,862 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-2) Cannot decode unsupported content encoding type br 
