Running BrowserMob Proxy using LittleProxy implementation. To revert to the legacy implementation, run the proxy with the command-line option '--use-littleproxy false'.
[WARN  2024-06-06T16:56:25,003 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-5) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:25,003 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,003 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-5) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,031 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-1) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:25,032 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-1) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,047 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-6) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:25,047 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-6) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,053 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-5) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:25,053 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-5) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,055 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:25,055 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,062 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-6) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:25,062 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-6) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,116 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-5) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:25,116 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-5) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,143 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:25,143 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,146 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-1) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:25,147 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-1) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,189 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-1) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:25,189 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-1) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,193 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:25,193 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,375 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:25,376 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,451 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:25,451 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,459 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:25,460 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,591 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-5) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:25,591 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-5) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,622 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-6) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:25,622 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-6) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,660 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-3) No content type specified in response from /generate_204?FcVz-A. Content will be treated as application/octet-stream 
[WARN  2024-06-06T16:56:25,801 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-0) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:25,801 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-0) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:25,849 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-4) No content type specified in response from /rrum?ixi=0&cm_dsp_id=85&gdpr=1&gdpr_consent=CP_ydgAP_ydgAEsACBENA3EoAP_gAEPgABCYINJB7D7FbSFCwH5zaLsAMAhHRsCAQoQAAASBAmABQAKQIAQCgkAQFASgBAACAAAAICZBIQIECAAACUAAQAAAAAAEAAAAAAAIIAAAgAEAAAAIAAACAAAAEAAIAAAAEAAAmAgAAIIACAAAhAAAAAAAAAAAAAAAAgAAAAAAAAAAAAAAAAAAAQOhQD2F2K2kKFkPCmQWYAQBCijYEAhQAAAAkCBIAAgAUgQAgFIIAgAIFAAAAAAAAAQEgCQAAQABAAAIACgAAAAAAIAAAAAAAQQAAAAAIAAAAAAAAEAAAAAAAQAAAAIAABEhCAAQQAEAAAAAAAQAAAAAAAAAAABAAA&addtl_consent=1~2526.2571.2677.1716.2575.486.495.1651.93.540.1570.2568.1889.981.1276.1301.494.864.1878.89.1051.323.1423.2072.311.1449.196.2373.108.415.1765.2299.1097.70.149.1365.122.1205.574.1577.1870.259.1095.2253.2357.358.1415&cb=https%3A%2F%2Fcm.g.doubleclick.net%2Fpixel%3Fgoogle_nid%3Dcasale_media2_dsp_secure%26google_cm%26google_hm%3D. Content will be treated as application/octet-stream 
[WARN  2024-06-06T16:56:25,849 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) No content type specified in response from /generate_204?eXRl4Q. Content will be treated as application/octet-stream 
[WARN  2024-06-06T16:56:25,932 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-2) No content type specified in response from /rum?cm_dsp_id=45&external_user_id=CAESEBPrcnBGqfg1bSXQZh2ssVM&google_cver=1&gdpr=1&gdpr_consent=CP_ydgAP_ydgAEsACBENA3EoAP_gAEPgABCYINJB7D7FbSFCwH5zaLsAMAhHRsCAQoQAAASBAmABQAKQIAQCgkAQFASgBAACAAAAICZBIQIECAAACUAAQAAAAAAEAAAAAAAIIAAAgAEAAAAIAAACAAAAEAAIAAAAEAAAmAgAAIIACAAAhAAAAAAAAAAAAAAAAgAAAAAAAAAAAAAAAAAAAQOhQD2F2K2kKFkPCmQWYAQBCijYEAhQAAAAkCBIAAgAUgQAgFIIAgAIFAAAAAAAAAQEgCQAAQABAAAIACgAAAAAAIAAAAAAAQQAAAAAIAAAAAAAAEAAAAAAAQAAAAIAABEhCAAQQAEAAAAAAAQAAAAAAAAAAABAAA&addtl_consent=1~2526.2571.2677.1716.2575.486.495.1651.93.540.1570.2568.1889.981.1276.1301.494.864.1878.89.1051.323.1423.2072.311.1449.196.2373.108.415.1765.2299.1097.70.149.1365.122.1205.574.1577.1870.259.1095.2253.2357.358.1415. Content will be treated as application/octet-stream 
[WARN  2024-06-06T16:56:25,975 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-4) No content type specified in response from /rrum?addtl_consent=1~2526.2571.2677.1716.2575.486.495.1651.93.540.1570.2568.1889.981.1276.1301.494.864.1878.89.1051.323.1423.2072.311.1449.196.2373.108.415.1765.2299.1097.70.149.1365.122.1205.574.1577.1870.259.1095.2253.2357.358.1415&cb=https%3A%2F%2Fcm.g.doubleclick.net%2Fpixel%3Fgdpr%3D1%26gdpr_consent%3DCP_ydgAP_ydgAEsACBENA3EoAP_gAEPgABCYINJB7D7FbSFCwH5zaLsAMAhHRsCAQoQAAASBAmABQAKQIAQCgkAQFASgBAACAAAAICZBIQIECAAACUAAQAAAAAAEAAAAAAAIIAAAgAEAAAAIAAACAAAAEAAIAAAAEAAAmAgAAIIACAAAhAAAAAAAAAAAAAAAAgAAAAAAAAAAAAAAAAAAAQOhQD2F2K2kKFkPCmQWYAQBCijYEAhQAAAAkCBIAAgAUgQAgFIIAgAIFAAAAAAAAAQEgCQAAQABAAAIACgAAAAAAIAAAAAAAQQAAAAAIAAAAAAAAEAAAAAAAQAAAAIAABEhCAAQQAEAAAAAAAQAAAAAAAAAAABAAA%26google_nid%3Dcasale_media2_dsp_secure%26google_cm%26google_hm%3D&cm_dsp_id=85&gdpr=1&gdpr_consent=CP_ydgAP_ydgAEsACBENA3EoAP_gAEPgABCYINJB7D7FbSFCwH5zaLsAMAhHRsCAQoQAAASBAmABQAKQIAQCgkAQFASgBAACAAAAICZBIQIECAAACUAAQAAAAAAEAAAAAAAIIAAAgAEAAAAIAAACAAAAEAAIAAAAEAAAmAgAAIIACAAAhAAAAAAAAAAAAAAAAgAAAAAAAAAAAAAAAAAAAQOhQD2F2K2kKFkPCmQWYAQBCijYEAhQAAAAkCBIAAgAUgQAgFIIAgAIFAAAAAAAAAQEgCQAAQABAAAIACgAAAAAAIAAAAAAAQQAAAAAIAAAAAAAAEAAAAAAAQAAAAIAABEhCAAQQAEAAAAAAAQAAAAAAAAAAABAAA&ixi=0&C=1. Content will be treated as application/octet-stream 
[INFO  2024-06-06T16:56:32,877 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-0) (AWAITING_INITIAL) [id: 0x11872945, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50620]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,877 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-3) (AWAITING_INITIAL) [id: 0x00b64479, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50611]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,877 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-1) (AWAITING_INITIAL) [id: 0x05b0d5c7, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50412]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,877 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-7) (AWAITING_INITIAL) [id: 0x043b0502, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50659]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,877 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-5) (AWAITING_INITIAL) [id: 0x430f7270, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50614]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,877 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-2) (AWAITING_INITIAL) [id: 0xca4209a2, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50624]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,877 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-4) (AWAITING_INITIAL) [id: 0xd6ed961a, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50613]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,877 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-6) (AWAITING_INITIAL) [id: 0x90781bbe, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50617]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,878 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-3) (AWAITING_INITIAL) [id: 0xae1524d6, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50626]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,878 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-5) (AWAITING_INITIAL) [id: 0x8fe095fb, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50655]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,878 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-6) (AWAITING_INITIAL) [id: 0x9951c3b2, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50570]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,878 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-4) (AWAITING_INITIAL) [id: 0x7e9cef1b, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50879]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,878 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-3) (AWAITING_INITIAL) [id: 0x178a6fbe, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50535]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,878 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-5) (AWAITING_INITIAL) [id: 0xed9be2e2, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50885]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,878 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-4) (AWAITING_INITIAL) [id: 0x17fa96c9, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50631]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,878 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-2) (AWAITING_INITIAL) [id: 0xb7fc1f51, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50562]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,878 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-1) (AWAITING_INITIAL) [id: 0xa3f185c4, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50700]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,878 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-3) (AWAITING_INITIAL) [id: 0xc31f51c2, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50687]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,879 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-7) (AWAITING_INITIAL) [id: 0x65d7c881, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50695]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,879 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-1) (AWAITING_INITIAL) [id: 0xc1457432, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50622]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,879 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-4) (AWAITING_INITIAL) [id: 0x5abc267f, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50690]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,879 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-7) (AWAITING_INITIAL) [id: 0x2da52711, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50492]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,878 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-0) (AWAITING_INITIAL) [id: 0x416ddbc9, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50574]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,879 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-1) (AWAITING_INITIAL) [id: 0x35c64641, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50663]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,879 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-7) (AWAITING_INITIAL) [id: 0xe9614be3, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50619]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,878 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-6) (AWAITING_INITIAL) [id: 0x8fc19a0c, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50886]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,880 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-0) (AWAITING_INITIAL) [id: 0x071ad7cf, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50661]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,880 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-6) (AWAITING_INITIAL) [id: 0x47a4fc25, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50657]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,880 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-1) (AWAITING_INITIAL) [id: 0x337bf85e, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50560]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,880 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-0) (AWAITING_INITIAL) [id: 0xf92d088e, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50699]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,880 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-6) (AWAITING_INITIAL) [id: 0x0828adec, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50694]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:32,880 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-2-ClientToProxyWorker-1) (AWAITING_INITIAL) [id: 0xb475a4d1, L:/0:0:0:0:0:0:0:1:8082 - R:/0:0:0:0:0:0:0:1:50583]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:33,458 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-1-ClientToProxyWorker-1) (AWAITING_INITIAL) [id: 0x37d58b58, L:/0:0:0:0:0:0:0:1:8081 - R:/0:0:0:0:0:0:0:1:50736]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:33,459 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-1-ClientToProxyWorker-5) (AWAITING_INITIAL) [id: 0xc63b6b73, L:/0:0:0:0:0:0:0:1:8081 - R:/0:0:0:0:0:0:0:1:50743]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:33,460 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-1-ClientToProxyWorker-1) (AWAITING_INITIAL) [id: 0x3da68a66, L:/0:0:0:0:0:0:0:1:8081 - R:/0:0:0:0:0:0:0:1:50410]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:33,460 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-1-ClientToProxyWorker-4) (AWAITING_INITIAL) [id: 0x3d7e105a, L:/0:0:0:0:0:0:0:1:8081 - R:/0:0:0:0:0:0:0:1:50713]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:33,460 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-1-ClientToProxyWorker-7) (AWAITING_INITIAL) [id: 0x0b35138f, L:/0:0:0:0:0:0:0:1:8081 - R:/0:0:0:0:0:0:0:1:50731]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:33,460 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-1-ClientToProxyWorker-2) (AWAITING_INITIAL) [id: 0x0390a347, L:/0:0:0:0:0:0:0:1:8081 - R:/0:0:0:0:0:0:0:1:50628]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:33,460 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-1-ClientToProxyWorker-0) (AWAITING_INITIAL) [id: 0x009689f8, L:/0:0:0:0:0:0:0:1:8081 - R:/0:0:0:0:0:0:0:1:50735]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:33,461 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-1-ClientToProxyWorker-7) (AWAITING_INITIAL) [id: 0x88f60a0a, L:/0:0:0:0:0:0:0:1:8081 - R:/0:0:0:0:0:0:0:1:50751]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:33,461 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-1-ClientToProxyWorker-4) (AWAITING_INITIAL) [id: 0xc676b258, L:/0:0:0:0:0:0:0:1:8081 - R:/0:0:0:0:0:0:0:1:50823]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:33,461 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-1-ClientToProxyWorker-3) (AWAITING_INITIAL) [id: 0x9e470310, L:/0:0:0:0:0:0:0:1:8081 - R:/0:0:0:0:0:0:0:1:50652]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:33,461 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-1-ClientToProxyWorker-7) (AWAITING_INITIAL) [id: 0x4040b4ae, L:/0:0:0:0:0:0:0:1:8081 - R:/0:0:0:0:0:0:0:1:50894]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
[INFO  2024-06-06T16:56:33,461 org.littleshoot.proxy.impl.ClientToProxyConnection] (LittleProxy-1-ClientToProxyWorker-0) (AWAITING_INITIAL) [id: 0x27c44db2, L:/0:0:0:0:0:0:0:1:8081 - R:/0:0:0:0:0:0:0:1:50753]: An IOException occurred on ClientToProxyConnection: An existing connection was forcibly closed by the remote host 
